PID,Gist_English_by_Sant_Singh
P0074L25,"All have gathered together,"
P0074L26,But we shall return home by different routes.
P0074L27,"The Gurmukhs reap their profits and leave, while the self-willed manmukhs lose their investment and depart. ||19||"
P0074L28,You are without color or mark.
P0074L29,The Lord is seen to be manifest and present.
P0074L30,"Hearing of Your Glories again and again, Your devotees meditate on You; they are attuned to You, O Lord, Treasure of Excellence. ||20||"
P0074L31,"Through age after age, I am the servant of the Merciful Lord."
P0074L32,The Guru has cut away my bonds.
P0074L33,"I shall not have to dance in the wrestling arena of life again. Nanak has searched, and found this opportunity. ||21||2||29||"
P0074L34,One Universal Creator God. By The Grace Of The True Guru:
P0074L35,"Siree Raag, First Mehl, Pehray, First House:"
P0074L36,"In the first watch of the night O my merchant friend you were cast into the womb, by the Lord's Command."
P0074L37,"Upside-down, within the womb, you performed penance, O my merchant friend, and you prayed to your Lord and Master."
P0074L38,"You uttered prayers to your Lord and Master, while upside-down, and you meditated on Him with deep love and affection."
P0074L39,"You came into this Dark Age of Kali Yuga naked, and you shall depart again naked."
P0074L40,"As God's Pen has written on your forehead, so it shall be with your soul."
P0074L41,"Says Nanak, in the first watch of the night, by the Hukam of the Lord's Command, you enter into the womb. ||1||"
P0075L01,"In the second watch of the night, O my merchant friend, you have forgotten to meditate."
P0075L02,"From hand to hand, you are passed around, O my merchant friend, like Krishna in the house of Yashoda."
P0075L03,"From hand to hand, you are passed around, and your mother says, """"This is my son."""""
P0075L04,"O, my thoughtless and foolish mind, think: In the end, nothing shall be yours."
P0075L05,You do not know the One who created the creation. Gather spiritual wisdom within your mind.
P0075L06,"Says Nanak, in the second watch of the night, you have forgotten to meditate. ||2||"
P0075L07,"In the third watch of the night, O my merchant friend, your consciousness is focused on wealth and youth."
P0075L08,"You have not remembered the Name of the Lord, O my merchant friend, although it would release you from bondage."
P0075L09,"You do not remember the Name of the Lord, and you become confused by Maya."
P0075L10,"Revelling in your riches and intoxicated with youth, you waste your life uselessly."
P0075L11,You have not traded in righteousness and Dharma; you have not made good deeds your friends.
P0075L12,"Says Nanak, in the third watch of the night, your mind is attached to wealth and youth. ||3||"
P0075L13,"In the fourth watch of the night, O my merchant friend, the Grim Reaper comes to the field."
P0075L14,"When the Messenger of Death seizes and dispatches you, O my merchant friend, no one knows the mystery of where you have gone."
P0075L15,"So think of the Lord! No one knows this secret, of when the Messenger of Death will seize you and take you away."
P0075L16,"All your weeping and wailing then is false. In an instant, you become a stranger."
P0075L17,You obtain exactly what you have longed for.
P0075L18,"Says Nanak, in the fourth watch of the night, O mortal, the Grim Reaper has harvested your field. ||4||1||"
P0075L19,"Siree Raag, First Mehl:"
P0075L20,"In the first watch of the night, O my merchant friend, your innocent mind has a child-like understanding."
P0075L21,"You drink milk, and you are fondled so gently, O my merchant friend."
P0075L22,"The mother and father love their child so much, but in Maya, all are caught in emotional attachment."
P0075L23,"By the good fortune of good deeds done in the past, you have come, and now you perform actions to determine your future."
P0075L24,"Without the Lord's Name, liberation is not obtained, and you are drowned in the love of duality."
P0075L25,"Says Nanak, in the first watch of the night, O mortal, you shall be saved by remembering the Lord. ||1||"
P0075L26,"In the second watch of the night, O my merchant friend, you are intoxicated with the wine of youth and beauty."
P0075L27,"Day and night, you are engrossed in sexual desire, O my merchant friend, and your consciousness is blind to the Naam."
P0075L28,"The Lord's Name is not within your heart, but all sorts of other tastes seem sweet to you."
P0075L29,"You have no wisdom at all, no meditation, no virtue or self-discipline; in falsehood, you are caught in the cycle of birth and death."
P0075L30,"Pilgrimages, fasts, purification and self-discipline are of no use, nor are rituals, religious ceremonies or empty worship."
P0075L31,"O Nanak, emancipation comes only by loving devotional worship; through duality, people are engrossed in duality. ||2||"
P0075L32,"In the third watch of the night, O my merchant friend, the swans, the white hairs, come and land upon the pool of the head."
P0075L33,"Youth wears itself out, and old age triumphs, O my merchant friend; as time passes, your days diminish."
P0076L01,"At the last moment, you repent-you are so blind!-when the Messenger of Death seizes you and carries you away."
P0076L02,"You kept all your things for yourself, but in an instant, they are all lost."
P0076L03,"Your intellect left you, your wisdom departed, and now you repent for the evil deeds you committed."
P0076L04,"Says Nanak, O mortal, in the third watch of the night, let your consciousness be lovingly focused on God. ||3||"
P0076L05,"In the fourth watch of the night, O my merchant friend, your body grows old and weak."
P0076L06,"Your eyes go blind, and cannot see, O my merchant friend, and your ears do not hear any words."
P0076L07,"Your eyes go blind, and your tongue is unable to taste; you live only with the help of others."
P0076L08,"With no virtue within, how can you find peace? The self-willed manmukh comes and goes in reincarnation."
P0076L09,"When the crop of life has matured, it bends, breaks and perishes; why take pride in that which comes and goes?"
P0076L10,"Says Nanak, O mortal, in the fourth watch of the night, the Gurmukh recognizes the Word of the Shabad. ||4||"
P0076L11,"Your breath comes to its end, O my merchant friend, and your shoulders are weighed down by the tyrant of old age."
P0076L12,"Not one iota of virtue came into you, O my merchant friend; bound and gagged by evil, you are driven along."
P0076L13,"One who departs with virtue and self-discipline is not struck down, and is not consigned to the cycle of birth and death."
P0076L14,"The Messenger of Death and his trap cannot touch him; through loving devotional worship, he crosses over the ocean of fear."
P0076L15,"He departs with honor, and merges in intuitive peace and poise; all his pains depart."
P0076L16,"Says Nanak, when the mortal becomes Gurmukh, he is saved and honored by the True Lord. ||5||2||"
P0076L17,"Siree Raag, Fourth Mehl:"
P0076L18,"In the first watch of the night, O my merchant friend, the Lord places you in the womb."
P0076L19,"You meditate on the Lord, and chant the Lord's Name, O my merchant friend. You contemplate the Name of the Lord, Har, Har."
P0076L20,"Chanting the Name of the Lord, Har, Har, and meditating on it within the fire of the womb, your life is sustained by dwelling on the Naam."
P0076L21,"You are born and you come out, and your mother and father are delighted to see your face."
P0076L22,"Remember the One, O mortal, to whom the child belongs. As Gurmukh, reflect upon Him within your heart."
P0076L23,"Says Nanak, O mortal, in the first watch of the night, dwell upon the Lord, who shall shower you with His Grace. ||1||"
P0076L24,"In the second watch of the night, O my merchant friend, the mind is attached to the love of duality."
P0076L25,"Mother and father hug you close in their embrace, claiming, """"He is mine, he is mine""""; so is the child brought up, O my merchant friend."
P0076L26,"Your mother and father constantly hug you close in their embrace; in their minds, they believe that you will provide for them and support them."
P0076L27,"The fool does not know the One who gives; instead, he clings to the gift."
P0076L28,"Rare is the Gurmukh who reflects upon, meditates upon, and within his mind, is lovingly attached to the Lord."
P0076L29,"Says Nanak, in the second watch of the night, O mortal, death never devours you. ||2||"
P0076L30,"In the third watch of the night, O my merchant friend, your mind is entangled in worldly and household affairs."
P0076L31,"You think of wealth, and gather wealth, O my merchant friend, but you do not contemplate the Lord or the Lord's Name."
P0076L32,"You never dwell upon the Name of the Lord, Har, Har, who will be your only Helper and Support in the end."
P0077L01,"This wealth, property and Maya are false. In the end, you must leave these, and depart in sorrow."
P0077L02,"Those whom the Lord, in His Mercy, unites with the Guru, reflect upon the Name of the Lord, Har, Har."
P0077L03,"Says Nanak, in the third watch of the night, O mortal, they go, and are united with the Lord. ||3||"
P0077L04,"In the fourth watch of the night, O my merchant friend, the Lord announces the time of departure."
P0077L05,"Serve the Perfect True Guru, O my merchant friend; your entire life-night is passing away."
P0077L06,Serve the Lord each and every instant-do not delay! You shall become eternal throughout the ages.
P0077L07,"Enjoy ecstasy forever with the Lord, and do away with the pains of birth and death."
P0077L08,"Know that there is no difference between the Guru, the True Guru, and your Lord and Master. Meeting with Him, take pleasure in the Lord's devotional service."
P0077L09,"Says Nanak, O mortal, in the fourth watch of the night, the life-night of the devotee is fruitful. ||4||1||3||"
P0077L10,"Siree Raag, Fifth Mehl:"
P0077L11,"In the first watch of the night, O my merchant friend, the Lord placed your soul in the womb."
P0077L12,"In the tenth month, you were made into a human being, O my merchant friend, and you were given your allotted time to perform good deeds."
P0077L13,"You were given this time to perform good deeds, according to your pre-ordained destiny."
P0077L14,"God placed you with your mother, father, brothers, sons and wife."
P0077L15,"God Himself is the Cause of causes, good and bad-no one has control over these things."
P0077L16,"Says Nanak, O mortal, in the first watch of the night, the soul is placed in the womb. ||1||"
P0077L17,"In the second watch of the night, O my merchant friend, the fullness of youth rises in you like waves."
P0077L18,"You do not distinguish between good and evil, O my merchant friend-your mind is intoxicated with ego."
P0077L19,"Mortal beings do not distinguish between good and evil, and the road ahead is treacherous."
P0077L20,"They never serve the Perfect True Guru, and the cruel tyrant Death stands over their heads."
P0077L21,"When the Righteous Judge seizes you and interrogates you, O madman, what answer will you give him then?"
P0077L22,"Says Nanak, in the second watch of the night, O mortal, the fullness of youth tosses you about like waves in the storm. ||2||"
P0077L23,"In the third watch of the night, O my merchant friend, the blind and ignorant person gathers poison."
P0077L24,"He is entangled in emotional attachment to his wife and sons, O my merchant friend, and deep within him, the waves of greed are rising up."
P0077L25,"The waves of greed are rising up within him, and he does not remember God."
P0077L26,"He does not join the Saadh Sangat, the Company of the Holy, and he suffers in terrible pain through countless incarnations."
P0077L27,"He has forgotten the Creator, his Lord and Master, and he does not meditate on Him, even for an instant."
P0077L28,"Says Nanak, in the third watch of the night, the blind and ignorant person gathers poison. ||3||"
P0077L29,"In the fourth watch of the night, O my merchant friend, that day is drawing near."
P0077L30,"As Gurmukh, remember the Naam, O my merchant friend. It shall be your Friend in the Court of the Lord."
P0077L31,"As Gurmukh, remember the Naam, O mortal; in the end, it shall be your only companion."
P0078L01,This emotional attachment to Maya shall not go with you; it is false to fall in love with it.
P0078L02,"The entire night of your life has passed away in darkness; but by serving the True Guru, the Divine Light shall dawn within."
P0078L03,"Says Nanak, O mortal, in the fourth watch of the night, that day is drawing near! ||4||"
P0078L04,"Receiving the summons from the Lord of the Universe, O my merchant friend, you must arise and depart with the actions you have committed."
P0078L05,"You are not allowed a moment's delay, O my merchant friend; the Messenger of Death seizes you with firm hands."
P0078L06,"Receiving the summons, people are seized and dispatched. The self-willed manmukhs are miserable forever."
P0078L07,But those who serve the Perfect True Guru are forever happy in the Court of the Lord.
P0078L08,"The body is the field of karma in this age; whatever you plant, you shall harvest."
P0078L09,"Says Nanak, the devotees look beautiful in the Court of the Lord; the self-willed manmukhs wander forever in reincarnation. ||5||1||4||"
P0078L10,"Siree Raag, Fourth Mehl, Second House, Chhant:"
P0078L11,One Universal Creator God. By The Grace Of The True Guru:
P0078L12,"How can the ignorant soul-bride obtain the Blessed Vision of the Lord's Darshan, while she is in this world of her father's home?"
P0078L13,"When the Lord Himself grants His Grace, the Gurmukh learns the duties of her Husband's Celestial Home."
P0078L14,"The Gurmukh learns the duties of her Husband's Celestial Home; she meditates forever on the Lord, Har, Har."
P0078L15,"She walks happily among her companions, and in the Lord's Court, she swings her arms joyfully."
P0078L16,"Her account is cleared by the Righteous Judge of Dharma, when she chants the Name of the Lord, Har, Har."
P0078L17,"The ignorant soul-bride becomes Gurmukh, and gains the Blessed Vision of the Lord's Darshan, while she is still in her father's house. ||1||"
P0078L18,"My marriage has been performed, O my father. As Gurmukh, I have found the Lord."
P0078L19,The darkness of ignorance has been dispelled. The Guru has revealed the blazing light of spiritual wisdom.
P0078L20,"This spiritual wisdom given by the Guru shines forth, and the darkness has been dispelled. I have found the Priceless Jewel of the Lord."
P0078L21,"The sickness of my ego has been dispelled, and my pain is over and done. Through the Guru's Teachings, my identity has consumed my identical identity."
P0078L22,"I have obtained my Husband Lord, the Akaal Moorat, the Undying Form. He is Imperishable; He shall never die, and He shall never ever leave."
P0078L23,"My marriage has been performed, O my father. As Gurmukh, I have found the Lord. ||2||"
P0078L24,"The Lord is the Truest of the True, O my father. Meeting with the humble servants of the Lord, the marriage procession looks beautiful."
P0078L25,"She who chants the Lord's Name is happy in this world of her father's home, and in the next world of her Husband Lord, she shall be very beautiful."
P0078L26,"In her Husband Lord's Celestial Home, she shall be most beautiful, if she has remembered the Naam in this world."
P0078L27,"Fruitful are the lives of those who, as Gurmukh, have conquered their minds-they have won the game of life."
P0078L28,"Joining with the humble Saints of the Lord, my actions bring prosperity, and I have obtained the Lord of Bliss as my Husband."
P0078L29,"The Lord is the Truest of the True, O my father. Joining with the humble servants of the Lord, the marriage party has been embellished. ||3||"
P0078L30,"O my father, give me the Name of the Lord God as my wedding gift and dowry."
P0079L01,"Give me the Lord as my wedding gown, and the Lord as my glory, to accomplish my works."
P0079L02,"Through devotional worship to the Lord, this ceremony is made blissful and beautiful; the Guru, the True Guru, has given this gift."
P0079L03,"Across the continents, and throughout the Universe, the Lord's Glory is pervading. This gift is not diminished by being diffused among all."
P0079L04,"Any other dowry, which the self-willed manmukhs offer for show, is only false egotism and a worthless display."
P0079L05,"O my father, please give me the Name of the Lord God as my wedding gift and dowry. ||4||"
P0079L06,"The Lord, Raam, Raam, is All-pervading, O my father. Meeting her Husband Lord, the soul-bride blossoms forth like the flourishing vine."
P0079L07,"In age after age, through all the ages, forever and ever, those who belong to the Guru's Family shall prosper and increase."
P0079L08,"Age after age, the Family of the True Guru shall increase. As Gurmukh, they meditate on the Naam, the Name of the Lord."
P0079L09,"The Almighty Lord never dies or goes away. Whatever He gives, keeps on increasing."
P0079L10,"O Nanak, the One Lord is the Saint of Saints. Chanting the Name of the Lord, Har, Har, the soul-bride is bountiful and beautiful."
P0079L11,"The Lord, Raam, Raam, is All-pervading, O my father. Meeting her Husband Lord, the soul-bride blossoms forth like the flourishing vine. ||5||1||"
P0079L12,"Siree Raag, Fifth Mehl, Chhant:"
P0079L13,One Universal Creator God. By The Grace Of The True Guru:
P0079L14,"O dear beloved mind, my friend, reflect upon the Name of the Lord of the Universe."
P0079L15,"O dear beloved mind, my friend, the Lord shall always be with you."
P0079L16,The Name of the Lord shall be with you as your Helper and Support. Meditate on Him-no one who does so shall ever return empty-handed.
P0079L17,"You shall obtain the fruits of your mind's desires, by focusing your consciousness on the Lord's Lotus Feet."
P0079L18,He is totally pervading the water and the land; He is the Lord of the World-forest. Behold Him in exaltation in each and every heart.
P0079L19,"Nanak gives this advice: O beloved mind, in the Company of the Holy, burn away your doubts. ||1||"
P0079L20,"O dear beloved mind, my friend, without the Lord, all outward show is false."
P0079L21,"O dear beloved mind, my friend, the world is an ocean of poison."
P0079L22,"Let the Lord's Lotus Feet be your Boat, so that pain and skepticism shall not touch you."
P0079L23,"Meeting with the Perfect Guru, by great good fortune, meditate on God twenty-four hours a day."
P0079L24,"From the very beginning, and throughout the ages, He is the Lord and Master of His servants. His Name is the Support of His devotees."
P0079L25,"Nanak gives this advice: O beloved mind, without the Lord, all outward show is false. ||2||"
P0079L26,"O dear beloved mind, my friend, load the profitable cargo of the Lord's Name."
P0079L27,"O dear beloved mind, my friend, enter through the eternal Door of the Lord."
P0079L28,"One who serves at the Door of the Imperceptible and Unfathomable Lord, obtains this eternal position."
P0079L29,"There is no birth or death there, no coming or going; anguish and anxiety are ended."
P0079L30,"The accounts of Chitr and Gupt, the recording scribes of the conscious and the subconscious are torn up, and the Messenger of Death cannot do anything."
P0079L31,"Nanak gives this advice: O beloved mind, load the profitable cargo of the Lord's Name. ||3||"
P0079L32,"O dear beloved mind, my friend, abide in the Society of the Saints."
P0079L33,"O dear beloved mind, my friend, chanting the Lord's Name, the Divine Light shines within."
P0079L34,"Remember your Lord and Master, who is easily obtained, and all desires shall be fulfilled."
P0080L01,"By my past actions, I have found the Lord, the Greatest Lover. Separated from Him for so long, I am united with Him again."
P0080L02,"Inside and out, He is pervading everywhere. Faith in Him has welled up within my mind."
P0080L03,"Nanak gives this advice: O beloved mind, let the Society of the Saints be your dwelling. ||4||"
P0080L04,"O dear beloved mind, my friend, let your mind remain absorbed in loving devotion to the Lord."
P0080L05,"O dear beloved mind, my friend, the fish of the mind lives only when it is immersed in the Water of the Lord."
P0080L06,"Drinking in the Lord's Ambrosial Bani, the mind is satisfied, and all pleasures come to abide within."
P0080L07,"Attaining the Lord of Excellence, I sing the Songs of Joy. The True Guru, becoming merciful, has fulfilled my desires."
P0080L08,"He has attached me to the hem of His robe, and I have obtained the nine treasures. My Lord and Master has bestowed His Name, which is everything to me."
P0080L09,"Nanak instructs the Saints to teach, that the mind is imbued with loving devotion to the Lord. ||5||1||2||"
P0080L10,"Chhants Of Siree Raag, Fifth Mehl:"
P0080L11,One Universal Creator God. By The Grace Of The True Guru:
P0080L12,Dakhanaa:
P0080L13,My Beloved Husband Lord is deep within my heart. How can I see Him?
P0080L14,"In the Sanctuary of the Saints, O Nanak, the Support of the breath of life is found. ||1||"
P0080L15,Chhant:
P0080L16,To love the Lotus Feet of the Lord-this way of life has come into the minds of His Saints.
P0080L17,"The love of duality, this evil practice, this bad habit, is not liked by the Lord's slaves."
P0080L18,"It is not pleasing to the Lord's slaves; without the Blessed Vision of the Lord's Darshan, how can they find peace, even for a moment?"
P0080L19,"Without the Naam, the Name of the Lord, the body and mind are empty; like fish out of water, they die."
P0080L20,"Please meet with me, O my Beloved-You are the Support of my breath of life. Joining the Saadh Sangat, the Company of the Holy, I sing Your Glorious Praises."
P0080L21,"O Lord and Master of Nanak, please grant Your Grace, and permeate my body, mind and being. ||1||"
P0080L22,Dakhanaa:
P0080L23,He is Beautiful in all places; I do not see any other at all.
P0080L24,"Meeting with the True Guru, O Nanak, the doors are opened wide. ||1||"
P0080L25,Chhant:
P0080L26,"Your Word is Incomparable and Infinite. I contemplate the Word of Your Bani, the Support of the Saints."
P0080L27,"I remember Him in meditation with every breath and morsel of food, with perfect faith. How could I forget Him from my mind?"
P0080L28,"How could I forget Him from my mind, even for an instant? He is the Most Worthy; He is my very life!"
P0080L29,My Lord and Master is the Giver of the fruits of the mind's desires. He knows all the useless vanities and pains of the soul.
P0080L30,"Meditating on the Patron of lost souls, the Companion of all, your life shall not be lost in the gamble."
P0080L31,"Nanak offers this prayer to God: Please shower me with Your Mercy, and carry me across the terrifying world-ocean. ||2||"
P0080L32,Dakhanaa:
P0080L33,"People bathe in the dust of the feet of the Saints, when the Lord becomes merciful."
P0080L34,"I have obtained all things, O Nanak; the Lord is my Wealth and Property. ||1||"
P0080L35,Chhant:
P0080L36,"My Lord and Master's Home is beautiful. It is the resting place of His devotees, who live in hopes of attaining it."
P0080L37,Their minds and bodies are absorbed in meditation on the Name of God; they drink in the Lord's Ambrosial Nectar.
P0081L01,"They drink in the Lord's Ambrosial Nectar, and become eternally stable. They know that the water of corruption is insipid and tasteless."
P0081L02,"When my God, the Lord of the Universe became merciful, I came to look upon the Saadh Sangat as the treasure."
P0081L03,"All pleasures and supreme ecstasy, O my Beloved, come to those who sew the Jewel of the Lord into their minds."
P0081L04,"They do not forget, even for an instant, the Support of the breath of life. They live by constantly meditating on Him, O Nanak. ||3||"
P0081L05,Dakhanaa:
P0081L06,"O Lord, You meet and merge with those whom you have made Your Own."
P0081L07,"You Yourself are entranced, O Nanak, hearing Your Own Praises. ||1||"
P0081L08,Chhant:
P0081L09,"Administering the intoxicating drug of love, I have won over the Lord of the Universe; I have fascinated His Mind."
P0081L10,"By the Grace of the Saints, I am held in the loving embrace of the Unfathomable Lord, and I am entranced."
P0081L11,"Held in the Lord's loving embrace, I look beautiful, and all my pains have been dispelled. By the loving worship of His devotees, the Lord has come under their power."
P0081L12,All pleasures have come to dwell in the mind; the Lord of the Universe is pleased and appeased. Birth and death have been totally eliminated.
P0081L13,"O my companions, sing the Songs of Joy. My desires have been fulfilled, and I shall never again be trapped or shaken by Maya."
P0081L14,"Taking hold of my hand, O Nanak, my Beloved God will not let me be swallowed up by the world-ocean. ||4||"
P0081L15,Dakhanaa:
P0081L16,The Master's Name is Priceless; no one knows its value.
P0081L17,"Those who have good destiny recorded upon their foreheads, O Nanak, enjoy the Love of the Lord. ||1||"
P0081L18,Chhant:
P0081L19,"Those who chant are sanctified. All those who listen are blessed, and those who write save their ancestors."
P0081L20,Those who join the Saadh Sangat are imbued with the Lord's Love; they reflect and meditate on God.
P0081L21,"Contemplating God, their lives are reformed and redeemed; God has showered His Perfect Mercy upon them."
P0081L22,"Taking them by the hand, the Lord has blessed them with His Praises. They no longer have to wander in reincarnation, and they never have to die."
P0081L23,"Through the Kind and Compassionate True Guru, I have met the Lord; I have conquered sexual desire, anger and greed."
P0081L24,"Our Indescribable Lord and Master cannot be described. Nanak is devoted, forever a sacrifice to Him. ||5||1||3||"
P0081L25,"Siree Raag, Fourth Mehl, Vanajaaraa ~ The Merchant:"
P0081L26,One Universal Creator God. Truth Is The Name. By Guru's Grace:
P0081L27,"The Name of the Lord, Har, Har, is Excellent and Sublime. He created everyone."
P0081L28,The Lord cherishes all beings. He permeates each and every heart.
P0081L29,"Meditate forever on that Lord. Without Him, there is no other at all."
P0081L30,Those who focus their consciousness on emotional attachment to Maya must leave; they depart crying out in despair.
P0081L31,"Servant Nanak meditates on the Naam, the Name of the Lord, his only Companion in the end. ||1||"
P0081L32,"I have none other than You, O Lord."
P0081L33,"In the Guru's Sanctuary, the Lord is found, O my merchant friend; by great good fortune, He is obtained. ||1||Pause||"
P0082L01,"Without the humble Saints, O Siblings of Destiny, no one has obtained the Lord's Name."
P0082L02,"Those who do their deeds in ego are like the prostitute's son, who has no name."
P0082L03,The father's status is obtained only if the Guru is pleased and bestows His Favor.
P0082L04,"By great good fortune, the Guru is found; embrace love for the Lord, day and night."
P0082L05,Servant Nanak has realized God; he sings the Lord's Praises through the actions he does. ||2||
P0082L06,"In my mind there is such a deep yearning for the Lord, Har, Har."
P0082L07,The Perfect Guru has implanted the Naam within me; I have found the Lord through the Lord God's Name. ||1||Pause||
P0082L08,"As long as there is youth and health, meditate on the Naam."
P0082L09,"Along the way, the Lord shall go along with you, and in the end, He shall save you."
P0082L10,"I am a sacrifice to those, within whose minds the Lord has come to dwell."
P0082L11,"Those who have not remembered the Name of the Lord, Har, Har, shall leave with regret in the end."
P0082L12,"Those who have such pre-ordained destiny written upon their foreheads, O servant Nanak, meditate on the Naam. ||3||"
P0082L13,"O my mind, embrace love for the Lord, Har, Har."
P0082L14,"By great good fortune, the Guru is found; through the Word of the Guru's Shabad, we are carried across to the other side. ||1||Pause||"
P0082L15,"The Lord Himself creates, He Himself gives and takes away."
P0082L16,The Lord Himself leads us astray in doubt; the Lord Himself imparts understanding.
P0082L17,The minds of the Gurmukhs are illuminated and enlightened; they are so very rare.
P0082L18,"I am a sacrifice to those who find the Lord, through the Guru's Teachings."
P0082L19,"Servant Nanak's heart-lotus has blossomed forth, and the Lord, Har, Har, has come to dwell in the mind. ||4||"
P0082L20,"O mind, chant the Name of the Lord, Har, Har."
P0082L21,"Hurry to the Sanctuary of the Lord, the Guru, O my soul; all your sins shall be taken away. ||1||Pause||"
P0082L22,The All-pervading Lord dwells within each and every person's heart-how can He be obtained?
P0082L23,"By meeting the Perfect Guru, the True Guru, the Lord comes to dwell within the conscious mind."
P0082L24,"The Naam is my Support and Sustenance. From the Lord's Name, I obtain salvation and understanding."
P0082L25,"My faith is in the Name of the Lord, Har, Har. The Lord's Name is my status and honor."
P0082L26,"Servant Nanak meditates on the Naam, the Name of the Lord; He is dyed in the deep crimson color of the Lord's Love. ||5||"
P0082L27,"Meditate on the Lord, the True Lord God."
P0082L28,"Through the Guru's Word, you shall come to know the Lord God. From the Lord God, everything was created. ||1||Pause||"
P0082L29,"Those who have such pre-ordained destiny, come to the Guru and meet Him."
P0082L30,"They love to serve, O my merchant friend, and through the Guru, they are illuminated by the Name of the Lord, Har, Har."
P0082L31,"Blessed, blessed is the trade of those traders who have loaded the merchandise of the Wealth of the Lord."
P0082L32,The faces of the Gurmukhs are radiant in the Court of the Lord; they come to the Lord and merge with Him.
P0082L33,"O servant Nanak, they alone find the Guru, with whom the Lord, the Treasure of Excellence, is pleased. ||6||"
P0082L34,"Meditate on the Lord, with every breath and morsel of food."
P0082L35,The Gurmukhs embrace the Love of the Lord in their minds; they are continually occupied with the Lord's Name. ||1||Pause||1||
P0083L01,One Universal Creator God. By The Grace Of The True Guru:
P0083L02,"Vaar Of Siree Raag, Fourth Mehl, With Shaloks:"
P0083L03,"Shalok, Third Mehl:"
P0083L04,"Among the ragas, Siree Raag is the best, if it inspires you to enshrine love for the True Lord."
P0083L05,"The True Lord comes to abide forever in the mind, and your understanding becomes steady and unequalled."
P0083L06,"The priceless jewel is obtained, by contemplating the Word of the Guru's Shabad."
P0083L07,"The tongue becomes true, the mind becomes true, and the body becomes true as well."
P0083L08,"O Nanak, forever true are the dealings of those who serve the True Guru. ||1||"
P0083L09,Third Mehl:
P0083L10,"All other loves are transitory, as long as people do not love their Lord and Master."
P0083L11,This mind is enticed by Maya-it cannot see or hear.
P0083L12,"Without seeing her Husband Lord, love does not well up; what can the blind person do?"
P0083L13,"O Nanak, the True One who takes away the eyes of spiritual wisdom-He alone can restore them. ||2||"
P0083L14,Pauree:
P0083L15,The Lord alone is the One Creator; there is only the One Court of the Lord.
P0083L16,The One Lord's Command is the One and Only-enshrine the One Lord in your consciousness.
P0083L17,"Without that Lord, there is no other at all. Remove your fear, doubt and dread."
P0083L18,"Praise that Lord who protects you, inside your home, and outside as well."
P0083L19,"When that Lord becomes merciful, and one comes to chant the Lord's Name, one swims across the ocean of fear. ||1||"
P0083L20,"Shalok, First Mehl:"
P0083L21,The gifts belong to our Lord and Master; how can we compete with Him?
P0083L22,"Some remain awake and aware, and do not receive these gifts, while others are awakened from their sleep to be blessed. ||1||"
P0083L23,First Mehl:
P0083L24,"Faith, contentment and tolerance are the food and provisions of the angels."
P0083L25,"They obtain the Perfect Vision of the Lord, while those who gossip find no place of rest. ||2||"
P0083L26,Pauree:
P0083L27,You Yourself created all; You Yourself delegate the tasks.
P0083L28,"You Yourself are pleased, beholding Your Own Glorious Greatness."
P0083L29,"O Lord, there is nothing at all beyond You. You are the True Lord."
P0083L30,You Yourself are contained in all places.
P0083L31,"Meditate on that Lord, O Saints; He shall rescue and save you. ||2||"
P0083L32,"Shalok, First Mehl:"
P0083L33,Pride in social status is empty; pride in personal glory is useless.
P0083L34,The One Lord gives shade to all beings.
P0083L35,You may call yourself good;
P0083L36,"O Nanak, this will only be known when your honor is approved in God's Account. ||1||"
P0083L37,Second Mehl:
P0083L38,Die before the one whom you love;
P0083L39,To live after he dies is to live a worthless life in this world. ||2||
P0083L40,Pauree:
P0083L41,"You Yourself created the earth, and the two lamps of the sun and the moon."
P0083L42,"You created the fourteen world-shops, in which Your Business is transacted."
P0083L43,The Lord bestows His Profits on those who become Gurmukh.
P0083L44,The Messenger of Death does not touch those who drink in the True Ambrosial Nectar.
P0083L45,"They themselves are saved, along with their family, and all those who follow them are saved as well. ||3||"
P0083L46,"Shalok, First Mehl:"
P0083L47,"He created the Creative Power of the Universe, within which He dwells."
P0084L01,"One who reflects upon his allotted span of life, becomes the slave of God."
P0084L02,The value of the Creative Power of the Universe cannot be known.
P0084L03,"Even if its value were known, it could not be described."
P0084L04,"Some think about religious rituals and regulations,"
P0084L05,"But without understanding, how can they cross over to the other side?"
P0084L06,"Let sincere faith be your bowing in prayer, and let the conquest of your mind be your objective in life."
P0084L07,"Wherever I look, there I see God's Presence. ||1||"
P0084L08,Third Mehl:
P0084L09,"The Society of the Guru is not obtained like this, by trying to be near or far away."
P0084L10,"O Nanak, you shall meet the True Guru, if your mind remains in His Presence. ||2||"
P0084L11,Pauree:
P0084L12,"The seven islands, seven seas, nine continents, four Vedas and eighteen Puraanas"
P0084L13,"O Lord, You pervade and permeate all. Lord, everyone loves You."
P0084L14,"All beings and creatures meditate on You, Lord. You hold the earth in Your Hands."
P0084L15,I am a sacrifice to those Gurmukhs who worship and adore the Lord.
P0084L16,You Yourself are All-pervading; You stage this wondrous drama! ||4||
P0084L17,"Shalok, Third Mehl:"
P0084L18,"Why ask for a pen, and why ask for ink? Write within your heart."
P0084L19,"Remain immersed forever in the Love of your Lord and Master, and your love for Him shall never break."
P0084L20,"Pen and ink shall pass away, along with what has been written."
P0084L21,"O Nanak, the Love of your Husband Lord shall never perish. The True Lord has bestowed it, as it was pre-ordained. ||1||"
